name	Beta-lactamase (not ESBL or carbapenemase)	Tetracycline	Gentamicin	Penicillin resistance (Staphylococcus aureus)	Streptomycin	Other antimicrobial	ESBL (AmpC type)	Chloramphenicol	Mupirocin	Kanamycin	Macrolide	Sulfonamide	Other aminoglycoside resistance (non-RMT)	Carbapenemase	Colistin	Carbapenemase (MBL)	Rifamycin	Aminoglycosides (Ribosomal methyltransferase)	ESBL	Lincosamides	Amikacin/Kanamycin/Tobramycin	Amikacin/Kanamycin/Tobramycin/Quinolone	Amikacin/Kanamycin	Nitroimidazole	Trimethoprim	Phenicol/Quinolone	Quinolone	Beta-lactamase (unknown spectrum)	Vancomycin	Chloramphenicol/Florfenicol	Fosfomycin	Amikacin/Gentamicin/Kanamycin/Tobramycin	Lincosamide/Streptogramin	Kanamycin/Tobramycin	Lincosamide/Macrolide/Streptogramin	Gentamicin/Kanamycin/Tobramycin	Gentamicin/Tobramycin/Apramycin	Erythromycin
HG796354																																						
NC_011736																																						
MG049738																																						
CP011006	blaTEM-1*	tet(C)*																																				
CP034813																																						
CP032609																																						
CP009667																																						
CP023816																																						
CP030417																																						
KP691634																																						
CP015043																																						
CP043622																																						
NC_011868																																						
AE016833																																						
CP044515																																						
AP017613																																						
JQ418530																																						
CP017131																																						
CP018730																																						
CP034228																																						
CP036960																																						
CP026790																																						
CU468128																																						
CP017288																																						
CP009992																																						
CP010364																																						
CP041938																																						
AB852526																																						
CP044652																																						
KY075652																																						
NC_009453																																						
KT203286																																						
FJ985252																																						
CP045319																																						
NC_009787																																						
CP001240																																						
CP024865																																						
CP045398																																						
KX772391																																						
CP018242																																						
CP020439																																						
CP017010																																						
CP041271																																						
NC_002137																																						
CP038169																																						
CP029434																																						
CP033526																																						
CP037457																																						
AP018271																																						
CP017904																																						
NC_018883																																						
CP040245																																						
CP016025																																						
KF793937																																						
LR134430																																						
CP021544																																						
NC_019359																																						
CP025421		tet(S)*																																				
CP013005																																						
CP009276																																						
LS999562																																						
CP039431																																						
CP037507																																						
NC_011776																																						
NC_024977																																						
CP006761																																						
CP000973																																						
KT982615																																						
CP011333																																						
MG651603																																						
CP045556			aac(3)-IIe*																																			
CP010598																																						
KY000045																																						
CP002126																																						
CP010687																																						
KT780723																																						
NC_019170																																						
CP021826																																						
CP023938																																						
CP024914																																						
NC_019310																																						
AP017659																																						
CP026714																																						
CP001302																																						
CP020897																																						
CP043210																																						
CP033523																																						
CP018222																																						
AP018728																																						
LR027520																																						
CP034188																																						
NC_023918																																						
CP020905																																						
CP044958																																						
NC_003922																																						
CP001292																																						
CP024330																																						
KY436021																																						
CP030625				blaZ*	ant(6)-Ia*																																	
CP002402																																						
CP022302																																						
CP036314																																						
CP019074						bleO*																																
CP000618																																						
CP011066																																						
CP026150																																						
LT985272																																						
AP010934																																						
NC_014134																																						
AP009489					str*																																	
CP031615																																						
CP032615																																						
CP018328																																						
CP013802																																						
KY014465																																						
CP030046																																						
NC_012255																																						
CP001492																																						
CP003617																																						
CP002950																																						
CP031116																																						
KM583822																																						
CP008952																																						
AF469177																																						
CP028154																																						
CP034816																																						
NC_022228																																						
NC_012235																																						
CP044536																																						
AY662331																																						
CP000231																																						
NC_016030																																						
CP015352																																						
CP034898																																						
CP034592	blaTEM-1*																																					
CP014063																																						
CP015525																																						
NC_025186																																						
LR134460																																						
CP034946																																						
CP003314																																						
CP039312																																						
KX147633							blaDHA-1*																															
CP009021																																						
CP044818																																						
NC_000937																																						
CP009717																																						
CP030268																																						
CP028571																																						
CP013026																																						
NC_013324					ant(6)-Ia*																																	
CP003431																																						
LT838199																																						
CP014527																																						
CP039931																																						
CP009009																																						
CP026944																																						
CP017784																																						
MH430883																																						
AB189671																																						
CP007729																																						
CP010854																																						
CP018718																																						
NC_021570																																						
CP019210																																						
CP028602																																						
KY086101																																						
AP018332																																						
AE001438																																						
