Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
AusGEM_00720	AusGEM_01259	4623633	929291	0.832648	0.00308899	3885	0.000840248
AusGEM_00720	AusGEM_01631	4738164	633964	0.88199	0.00208894	1209	0.000255162
AusGEM_00720	AusGEM_01632	4738093	632121	0.882291	0.00208309	1210	0.000255377
AusGEM_00720	AusGEM_01633	4851941	387008	0.926129	0.00126152	247	5.09075e-05
AusGEM_00720	AusGEM_01634	4669730	787922	0.85563	0.00261272	3307	0.000708178
AusGEM_00720	AusGEM_01635	4658653	914867	0.835855	0.0030214	3633	0.000779839
AusGEM_00720	AusGEM_01636	4886781	386224	0.926754	0.00125021	313	6.40503e-05
AusGEM_00720	AusGEM_01637	4886839	386040	0.926788	0.00124961	312	6.38449e-05
AusGEM_00720	AusGEM_01638	4848910	374056	0.928382	0.00122083	229	4.72271e-05
AusGEM_00720	AusGEM_01639	4846656	376270	0.927958	0.00122848	272	5.61212e-05
AusGEM_00720	AusGEM_01640	4687947	865479	0.844154	0.00284819	2962	0.000631833
AusGEM_00720	AusGEM_01641	4850067	362163	0.930517	0.00118245	228	4.70097e-05
AusGEM_00720	AusGEM_01642	4917126	341413	0.935075	0.00110089	451	9.17202e-05
AusGEM_00720	AusGEM_01643	4686790	769436	0.85898	0.00254485	2974	0.000634549
AusGEM_00720	AusGEM_01644	4878407	436005	0.917958	0.00141024	596	0.000122171
AusGEM_00720	AusGEM_01645	4878268	436189	0.917924	0.00141087	592	0.000121355
AusGEM_00720	AusGEM_01646	4917958	613030	0.889164	0.00195034	455	9.25181e-05
AusGEM_00720	AusGEM_01647	4878639	436010	0.917961	0.00141019	593	0.00012155
AusGEM_00720	AusGEM_01649	4918134	369450	0.930129	0.00118941	455	9.25148e-05
AusGEM_00720	AusGEM_01650	4886427	352471	0.93272	0.00114294	252	5.15714e-05
AusGEM_00720	AusGEM_01651	4858710	401819	0.923616	0.00130704	269	5.53645e-05
AusGEM_00720	AusGEM_01652	4888611	448785	0.915917	0.0014477	342	6.99585e-05
AusGEM_00720	AusGEM_01653	4857132	440730	0.91681	0.0014313	270	5.55884e-05
AusGEM_00720	AusGEM_01654	4923750	414668	0.922324	0.00133053	418	8.48946e-05
AusGEM_00720	AusGEM_01655	4850898	362409	0.930484	0.00118303	226	4.65893e-05
AusGEM_00720	AusGEM_01656	4881025	512196	0.90503	0.00164961	406	8.31792e-05
AusGEM_00720	AusGEM_01657	4878507	435900	0.917978	0.00140988	595	0.000121964
AusGEM_00720	AusGEM_01658	4888826	448523	0.915965	0.00144681	342	6.99554e-05
AusGEM_00720	AusGEM_01659	4886453	352548	0.932707	0.00114318	250	5.11619e-05
AusGEM_00720	AusGEM_01660	4877614	403403	0.923613	0.00130711	341	6.99112e-05
AusGEM_00720	AusGEM_01661	4879151	526073	0.902673	0.00169379	633	0.000129736
AusGEM_00720	AusGEM_01662	4878437	436077	0.917946	0.00141046	591	0.000121145
AusGEM_00720	AusGEM_01663	4878278	436188	0.917924	0.00141086	593	0.000121559
AusGEM_00720	AusGEM_01664	4878387	438823	0.917471	0.00141917	596	0.000122172
AusGEM_00720	AusGEM_01665	4878433	436182	0.917928	0.0014108	596	0.00012217
AusGEM_00720	AusGEM_01666	4878424	436079	0.917946	0.00141047	593	0.000121556
AusGEM_00720	AusGEM_01667	4696456	861586	0.844984	0.002831	3041	0.00064751
AusGEM_00720	AusGEM_01668	4886354	352527	0.932709	0.00114314	249	5.09582e-05
AusGEM_00720	AusGEM_01669	4926536	507352	0.906632	0.00161967	405	8.22079e-05
AusGEM_00720	AusGEM_01670	4886700	386433	0.926717	0.00125089	312	6.38468e-05
AusGEM_00720	AusGEM_01671	4889954	404532	0.923594	0.00130745	516	0.000105522
AusGEM_00720	AusGEM_01672	4888806	448644	0.915944	0.0014472	342	6.99557e-05
AusGEM_00720	AusGEM_01673	4886821	386185	0.926762	0.00125007	309	6.32313e-05
AusGEM_00720	AusGEM_02000	4439447	1248446	0.780508	0.00424393	3440	0.000774871
AusGEM_00720	AUSMDU00006614	4735842	653585	0.878728	0.0021525	389	8.21396e-05
AusGEM_00720	AUSMDU00008000	4472195	1278863	0.77763	0.00431091	3603	0.000805645
AusGEM_00720	AUSMDU00010661	4442801	1357399	0.765974	0.00458589	3494	0.000786441
AusGEM_00720	AUSMDU00011864	4522832	1286718	0.778517	0.00429024	3949	0.000873126
AusGEM_00720	AUSMDU00014007	4590580	1081546	0.809323	0.00359235	3559	0.000775283
AusGEM_00720	AUSMDU00017115	4391780	1316413	0.769382	0.00450487	3339	0.000760284
AusGEM_00720	AUSMDU00019365	4453969	1199427	0.78784	0.00407489	3503	0.00078649
AusGEM_00720	AUSMDU00026934	4526859	1054234	0.811106	0.00355313	3977	0.000878534
AusGEM_00720	AUSMDU00034761	4775532	800986	0.856364	0.00259781	1036	0.000216939
AusGEM_00720	AUSMDU00039410	4502067	1221275	0.786615	0.00410296	3699	0.000821623
AusGEM_00720	AUSMDU00044080	4422953	1359835	0.764848	0.00461276	3610	0.000816197
