IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F95?:A-:B1	AA176	1	1	fimH145	AusGEM	2007	NA	Canine	Companion Animal	AusGEM_00720
F-:A-:B-	No F Plasmid	2	0	fimH145*	AusGEM	2006	NA	Human	Human	AusGEM_01259
C4:A-:B1	AA176	3	1	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01631
C4:A-:B1	AA176	3	1	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01632
F-:A-:B-	No F Plasmid	4	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01633
F-:A-:B-	No F Plasmid	5	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01634
F-:A-:B1	AA179	6	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01635
F-:A-:B-	No F Plasmid	7	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01636
F-:A-:B-	No F Plasmid	7	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01637
F-:A-:B-	No F Plasmid	4	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01638
F-:A-:B-	No F Plasmid	4	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01639
F-:A-:B-	No F Plasmid	8	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01640
F-:A-:B-	No F Plasmid	4	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01641
F-:A-:B-	No F Plasmid	9	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01642
F-:A-:B-	No F Plasmid	8	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01643
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01644
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01645
F-:A-:B-	No F Plasmid	11	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01646
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01647
F-:A-:B-	No F Plasmid	9	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01649
F-:A-:B-	No F Plasmid	12	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01650
F-:A-:B-	No F Plasmid	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01651
F-:A-:B-	No F Plasmid	13	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01652
F-:A-:B-	No F Plasmid	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01653
F-:A-:B-	No F Plasmid	14	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01654
F-:A-:B-	No F Plasmid	4	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01655
F-:A-:B-	No F Plasmid	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01656
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01657
F-:A-:B-	No F Plasmid	13	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01658
F-:A-:B-	No F Plasmid	12	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01659
F-:A-:B-	No F Plasmid	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01660
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01661
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01662
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01663
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01664
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01665
F29:A-:B-	AA329	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01666
F-:A-:B-	No F Plasmid	15	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01667
F-:A-:B-	No F Plasmid	12	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01668
F-:A-:B-	No F Plasmid	16	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01669
F-:A-:B-	No F Plasmid	7	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01670
F-:A-:B-	No F Plasmid	10	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01671
F-:A-:B-	No F Plasmid	13	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01672
F-:A-:B-	No F Plasmid	7	0	fimH145	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01673
F24:A-:B1	AA175	17	0	fimH145	AusGEM	2009	NA	Human	Human	AusGEM_02000
F2:A-:B-	AA735	18	0	fimH145	MDU	2017	Urine	Human	Human	AUSMDU00006614
C4:A-:B1	AA179	19	1	fimH145	MDU	2017	Swab	Human	Human	AUSMDU00008000
F31!/F31!:A4:B20	AA173	20	0	fimH145	MDU	2017	Swab	Human	Human	AUSMDU00010661
C4:A-:B1	AA304	19	1	fimH145	MDU	2018	Urine	Human	Human	AUSMDU00011864
C4:A-:B1	AA179	21	0	fimH145	MDU	2018	Urine	Human	Human	AUSMDU00014007
F-:A-:B-	No F Plasmid	22	0	fimH145	MDU	2018	Fluid	Human	Human	AUSMDU00017115
F-:A-:B24	AB192	23	0	fimH145	MDU	2018	Swab	Human	Human	AUSMDU00019365
F-:A-:B-	No F Plasmid	24	0	fimH145	MDU	2014	Blood	Human	Human	AUSMDU00026934
F35!/F2!:A-:B10	AA352	25	0	fimH145	MDU	2019	Urine	Human	Human	AUSMDU00034761
F36!/F31!:A4:B1	AA594	26	0	fimH145	MDU	2019	Faeces	Human	Human	AUSMDU00039410
C4:A-:B1	AA176	19	0	fimH145	MDU	2020	Urine	Human	Human	AUSMDU00044080
F40:A-:B-	AA315	27	0	fimH145	MDU	2017	Urine	Human	Human	AUSMDU00070157
F-:A-:B-	No F Plasmid	5	0	fimH145	Enterobase	2014	Unknown	Human	Human	ERR5355707
F-:A-:B-	No F Plasmid	28	0	fimH145	Enterobase	2018	UTI	Human	Human	SRR11094172
F-:A-:B-	No F Plasmid	29	0	fimH145	Enterobase	2017	Unknown	Human	Human	SRR11094218
F24!/F2!:A6?:B1	AA176	30	1	fimH145	Enterobase	2018	UTI	Human	Human	SRR11094236
F-:A-:B-	No F Plasmid	31	0	fimH145	Enterobase	2001	Faeces	Avian	Wild Animal	SRR4241830
F-:A-:B-	No F Plasmid	32	0	fimH145	Enterobase	2015	Blood	Human	Human	SRR5936508
