Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
AusGEM_00001	AusGEM_00029	5261929	146322	0.972945	0.000445422	195	3.70587e-05
AusGEM_00001	AusGEM_00030	5250988	108437	0.979767	0.000331371	223	4.24682e-05
AusGEM_00001	AusGEM_00072	4860007	972637	0.833243	0.00307644	1909	0.000392798
AusGEM_00001	AusGEM_00079	4643218	1340048	0.776034	0.00434821	3954	0.000851565
AusGEM_00001	AusGEM_00083	4874114	865942	0.849141	0.0027453	1579	0.000323956
AusGEM_00001	AusGEM_00089	4876152	862649	0.849681	0.0027342	1572	0.000322385
AusGEM_00001	AusGEM_00099	4642442	1191638	0.795745	0.00389513	3362	0.000724188
AusGEM_00001	AusGEM_00124	4645822	1348573	0.775028	0.00437179	3990	0.000858836
AusGEM_00001	AusGEM_00125	4642942	1337032	0.776415	0.00433929	3942	0.000849031
AusGEM_00001	AusGEM_00126	4623011	1302730	0.780157	0.00425207	3819	0.000826085
AusGEM_00001	AusGEM_00127	4622592	1301458	0.780309	0.00424854	3787	0.000819237
AusGEM_00001	AusGEM_00128	4642646	1340553	0.775947	0.00435025	3950	0.000850808
AusGEM_00001	AusGEM_00129	4622682	1301488	0.780309	0.00424855	3779	0.000817491
AusGEM_00001	AusGEM_00131	4623815	1300874	0.780432	0.0042457	3811	0.000824211
AusGEM_00001	AusGEM_00132	4622712	1301459	0.780314	0.00424844	3783	0.000818351
AusGEM_00001	AusGEM_00133	4622900	1300419	0.780458	0.0042451	3808	0.000823725
AusGEM_00001	AusGEM_00152	4596072	1301078	0.779372	0.00427033	3026	0.000658388
AusGEM_00001	AusGEM_00153	4644345	1353333	0.774357	0.00438752	3961	0.000852865
AusGEM_00001	AusGEM_00154	4595770	1131698	0.802409	0.00374561	3044	0.000662348
AusGEM_00001	AusGEM_00159	4596037	1132550	0.802299	0.00374807	3027	0.000658611
AusGEM_00001	AusGEM_00163	4642451	1353925	0.774209	0.00439099	3984	0.000858167
AusGEM_00001	AusGEM_00164	4643912	1353240	0.774353	0.00438762	3972	0.000855313
AusGEM_00001	AusGEM_00165	4643474	1353273	0.774332	0.00438811	3987	0.000858624
AusGEM_00001	AusGEM_00226	4873324	874683	0.847828	0.00277229	1586	0.000325445
AusGEM_00001	AusGEM_00227	4873949	875771	0.847685	0.00277525	1611	0.000330533
AusGEM_00001	AusGEM_00268	4644386	1338686	0.776254	0.00434305	3978	0.000856518
AusGEM_00001	AusGEM_00269	4644360	1339439	0.776156	0.00434536	3993	0.000859752
AusGEM_00001	AusGEM_00270	4646666	1346771	0.775292	0.00436558	3973	0.000855022
AusGEM_00001	AusGEM_00313	4642953	1342273	0.775736	0.0043552	3954	0.000851613
AusGEM_00001	AusGEM_00314	4585006	1160750	0.797981	0.00384476	2845	0.000620501
AusGEM_00001	AusGEM_00316	4584574	1158454	0.798285	0.00383793	2818	0.00061467
AusGEM_00001	AusGEM_00317	4584250	1160146	0.798039	0.00384347	2809	0.00061275
AusGEM_00001	AusGEM_00318	4584281	1160043	0.798054	0.00384312	2809	0.000612746
AusGEM_00001	AusGEM_00324	4616610	1307471	0.779296	0.00427211	3885	0.000841527
AusGEM_00001	AusGEM_00325	4617433	1306015	0.779518	0.00426694	3862	0.000836395
AusGEM_00001	AusGEM_00327	4618251	1309659	0.779069	0.00427738	3883	0.000840794
AusGEM_00001	AusGEM_00328	4617433	1305985	0.779522	0.00426684	3863	0.000836612
AusGEM_00001	AusGEM_00329	4617313	1305985	0.779517	0.00426695	3868	0.000837717
AusGEM_00001	AusGEM_00330	4622742	1301441	0.780317	0.00424836	3782	0.000818129
AusGEM_00001	AusGEM_00331	4622849	1304834	0.779875	0.00425864	3814	0.000825032
AusGEM_00001	AusGEM_00332	4623481	1303347	0.780094	0.00425355	3813	0.000824703
AusGEM_00001	AusGEM_00333	4622683	1301500	0.780307	0.00424859	3787	0.000819221
AusGEM_00001	AusGEM_00334	4643089	1336072	0.776545	0.00433625	3976	0.000856326
AusGEM_00001	AusGEM_00335	4641989	1341532	0.775796	0.00435379	3982	0.000857822
AusGEM_00001	AusGEM_00336	4643026	1336993	0.776423	0.0043391	3943	0.000849231
AusGEM_00001	AusGEM_00470	4536786	1384240	0.766216	0.0045801	3816	0.000841124
AusGEM_00001	AusGEM_00477	4536756	1383948	0.766253	0.00457923	3818	0.00084157
AusGEM_00001	AusGEM_00508	4561832	1348758	0.771807	0.00444754	3632	0.000796171
AusGEM_00001	AusGEM_00573	4533139	1397700	0.764333	0.00462506	3001	0.000662014
AusGEM_00001	AusGEM_00627	4576383	1439761	0.760684	0.00471266	3239	0.000707764
AusGEM_00001	AusGEM_00631	4536044	1425792	0.760847	0.00470874	3835	0.00084545
AusGEM_00001	AusGEM_00737	4723074	1029258	0.821071	0.00333623	2321	0.000491417
AusGEM_00001	AusGEM_00739	4564362	1284482	0.780387	0.00424674	3040	0.00066603
AusGEM_00001	AusGEM_00742	4761311	1020711	0.823468	0.00328463	2238	0.000470039
AusGEM_00001	AusGEM_00753	4766617	958299	0.832609	0.00308982	2272	0.000476648
AusGEM_00001	AusGEM_00763	4607188	999476	0.821734	0.00332193	2395	0.00051984
AusGEM_00001	AusGEM_00810	4548066	1444143	0.758997	0.00475337	3125	0.000687105
AusGEM_00001	AusGEM_00827	4496211	1386419	0.76432	0.00462539	3575	0.000795114
AusGEM_00001	AusGEM_00841	4876467	899378	0.844286	0.00284545	1573	0.00032257
AusGEM_00001	AusGEM_01114	4767845	961009	0.832251	0.00309739	2255	0.00047296
AusGEM_00001	AusGEM_01118	4938266	703964	0.875233	0.002221	1566	0.000317115
AusGEM_00001	AusGEM_01121	4580478	1335501	0.774255	0.00438991	3704	0.000808649
AusGEM_00001	AusGEM_01144	4534529	1372791	0.767612	0.00454688	3491	0.00076987
AusGEM_00001	AusGEM_01148	4585346	1374381	0.769389	0.00450471	3244	0.000707471
AusGEM_00001	AusGEM_01156	4669583	1130868	0.805038	0.00368711	2980	0.000638173
AusGEM_00001	AusGEM_01163	4565455	1716740	0.726729	0.00555752	3119	0.000683174
AusGEM_00001	AusGEM_01171	4570830	1357914	0.770961	0.00446751	3748	0.000819982
AusGEM_00001	AusGEM_01172	4632387	1186234	0.796131	0.00388642	2770	0.000597964
AusGEM_00001	AusGEM_01200	4526267	1363499	0.768497	0.00452586	2962	0.000654402
AusGEM_00001	AusGEM_01212	4605930	1171664	0.797206	0.00386221	3116	0.000676519
AusGEM_00001	AusGEM_01218	4535861	1410316	0.76282	0.00466132	3488	0.000768983
AusGEM_00001	AusGEM_01239	4648676	1146841	0.802116	0.00375215	3116	0.000670298
AusGEM_00001	AusGEM_01253	4576504	1959321	0.700218	0.00625718	4073	0.000889981
AusGEM_00001	AusGEM_01260	4767749	983645	0.828973	0.00316695	2257	0.000473389
AusGEM_00001	AusGEM_01286	4688658	1109213	0.808686	0.00360638	2836	0.000604864
AusGEM_00001	AusGEM_01290	4649946	1213620	0.793024	0.00395672	2984	0.000641728
AusGEM_00001	AusGEM_01312	4557678	1398098	0.765253	0.00460307	3178	0.000697285
AusGEM_00001	AusGEM_01338	4618724	1095363	0.808305	0.0036148	2866	0.000620518
AusGEM_00001	AusGEM_01349	4536461	1474588	0.754687	0.00485792	2997	0.000660647
AusGEM_00001	AusGEM_01371	4529243	1429723	0.760072	0.00472741	3763	0.000830823
AusGEM_00001	AusGEM_01376	4740655	1048926	0.818825	0.00338478	2837	0.000598441
AusGEM_00001	AusGEM_01384	4570418	1335337	0.773892	0.00439844	3174	0.000694466
AusGEM_00001	AusGEM_01386	4526295	1363544	0.768492	0.00452597	2960	0.000653956
AusGEM_00001	AusGEM_01392	4516748	1350740	0.769792	0.00449514	3382	0.000748769
AusGEM_00001	AusGEM_01394	4456467	1466384	0.752419	0.00491328	3402	0.000763385
AusGEM_00001	AusGEM_01396	4620723	1090715	0.80903	0.00359881	2657	0.000575018
AusGEM_00001	AusGEM_01397	4570257	1335245	0.773898	0.0043983	3175	0.000694709
AusGEM_00001	AusGEM_01416	4606280	1171354	0.797261	0.00386097	3114	0.000676034
AusGEM_00001	AusGEM_01435	4503032	1442393	0.757394	0.00479213	3662	0.00081323
AusGEM_00001	AusGEM_01437	4522885	1331549	0.772557	0.00442985	2858	0.000631898
AusGEM_00001	AusGEM_01446	4537848	1511819	0.750099	0.00497017	3805	0.000838503
AusGEM_00001	AusGEM_01449	4530467	1390286	0.765184	0.00460473	3255	0.000718469
AusGEM_00001	AusGEM_01878	4534551	1512472	0.749882	0.00497551	3835	0.000845729
AusGEM_00001	AusGEM_01898	4535876	1348163	0.770878	0.00446947	3302	0.000727974
AusGEM_00001	AusGEM_01909	4519846	1341246	0.771161	0.00446278	3216	0.000711529
AusGEM_00001	AusGEM_01937	4574420	1255002	0.784712	0.00414671	3169	0.000692765
AusGEM_00001	AusGEM_01971	4756143	972158	0.830289	0.00313898	2256	0.000474334
AusGEM_00001	AusGEM_01980	4769923	980015	0.829561	0.00315444	2267	0.00047527
AusGEM_00001	AusGEM_01983	4649345	1113667	0.806756	0.00364902	3201	0.000688484
AusGEM_00001	AusGEM_01984	4770716	981992	0.829299	0.00316	2313	0.000484833
AusGEM_00001	AusGEM_01991	4768308	960259	0.832374	0.0030948	2269	0.00047585
AusGEM_00001	AusGEM_01996	4806199	1079432	0.816599	0.0034331	2530	0.000526403
AusGEM_00001	AusGEM_01998	4579359	1318389	0.776459	0.00433827	3333	0.000727831
AusGEM_00001	AusGEM_02015	4516664	1403584	0.762918	0.00465896	3373	0.00074679
AusGEM_00001	AusGEM_02016	4774489	1048816	0.819893	0.00336167	2230	0.000467066
