Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
AusGEM_00417	AusGEM_00545	4885305	353060	0.932601	0.00114508	245	5.01504e-05
AusGEM_00417	AusGEM_00546	4885295	353097	0.932594	0.0011452	247	5.05599e-05
AusGEM_00417	AusGEM_00552	4885350	353012	0.93261	0.00114491	248	5.0764e-05
AusGEM_00417	AusGEM_00564	4885353	353114	0.932592	0.00114524	249	5.09687e-05
AusGEM_00417	AusGEM_00590	5041916	125473	0.975718	0.000398908	382	7.57648e-05
AusGEM_00417	AusGEM_00595	5041916	125503	0.975713	0.000399005	382	7.57648e-05
AusGEM_00417	AusGEM_00623	5041643	125979	0.975621	0.00040053	391	7.75541e-05
AusGEM_00417	AusGEM_00760	4996060	130738	0.974499	0.000419331	70	1.4011e-05
AusGEM_00417	AusGEM_01254	4893341	365075	0.930573	0.00118143	144	2.94277e-05
AusGEM_00417	AusGEM_01914	4889385	369755	0.929693	0.00119725	210	4.29502e-05
AusGEM_00417	AusGEM_01933	4912777	440001	0.9178	0.00141315	594	0.000120909
AusGEM_00417	AUSMDU00007415	4981699	152486	0.9703	0.000489959	121	2.42889e-05
AusGEM_00417	AUSMDU00007854	4969075	338902	0.936152	0.0010817	283	5.69522e-05
AusGEM_00417	AUSMDU00008404	4955618	301677	0.942617	0.00096722	183	3.69278e-05
AusGEM_00417	AUSMDU00008441	4979410	173583	0.966314	0.000557416	163	3.27348e-05
AusGEM_00417	AUSMDU00008526	4913352	493302	0.90876	0.00158002	657	0.000133717
AusGEM_00417	AUSMDU00008626	4862391	412460	0.921806	0.00133995	388	7.97961e-05
AusGEM_00417	AUSMDU00010593	5000652	299536	0.943486	0.000951934	474	9.47876e-05
AusGEM_00417	AUSMDU00010638	4962937	225248	0.956584	0.000723849	149	3.00225e-05
AusGEM_00417	AUSMDU00010639	4952198	269630	0.948365	0.000866428	271	5.47232e-05
AusGEM_00417	AUSMDU00010651	4846533	495400	0.907262	0.00160792	307	6.33442e-05
AusGEM_00417	AUSMDU00010655	4948030	248840	0.952117	0.00080111	112	2.26353e-05
AusGEM_00417	AUSMDU00010774	4979218	328562	0.938098	0.00104712	347	6.96897e-05
AusGEM_00417	AUSMDU00010776	4939936	311741	0.94064	0.00100211	159	3.21867e-05
AusGEM_00417	AUSMDU00010818	4956818	198563	0.961484	0.00063972	179	3.61119e-05
AusGEM_00417	AUSMDU00010825	4966652	265098	0.949329	0.000849609	129	2.59732e-05
AusGEM_00417	AUSMDU00010933	4988221	202295	0.961026	0.000647562	378	7.57785e-05
AusGEM_00417	AUSMDU00011686	4943690	361294	0.931895	0.00115771	211	4.26807e-05
AusGEM_00417	AUSMDU00011706	4975705	300569	0.943034	0.000959888	333	6.69252e-05
AusGEM_00417	AUSMDU00011708	4918996	346045	0.934275	0.00111516	146	2.96809e-05
AusGEM_00417	AUSMDU00011817	4945804	191581	0.962708	0.000618802	120	2.4263e-05
AusGEM_00417	AUSMDU00011873	4969440	316159	0.940185	0.00101016	217	4.36669e-05
AusGEM_00417	AUSMDU00011881	4844132	309716	0.939906	0.00101509	421	8.69093e-05
AusGEM_00417	AUSMDU00012376	4933247	216153	0.958024	0.000699073	210	4.25683e-05
AusGEM_00417	AUSMDU00012528	4880474	429214	0.919164	0.00138817	1213	0.000248541
AusGEM_00417	AUSMDU00014864	4953556	310131	0.941081	0.000994319	156	3.14925e-05
AusGEM_00417	AUSMDU00014867	4857454	541749	0.899661	0.00175049	529	0.000108905
AusGEM_00417	AUSMDU00015255	4926217	296816	0.943172	0.000957459	225	4.5674e-05
AusGEM_00417	AUSMDU00015561	5003093	325971	0.938831	0.00103411	259	5.1768e-05
AusGEM_00417	AUSMDU00015611	4928876	239876	0.953591	0.000775561	153	3.10416e-05
AusGEM_00417	AUSMDU00015626	4893698	517080	0.904435	0.00166074	629	0.000128533
AusGEM_00417	AUSMDU00015676	4829401	373047	0.928294	0.00122243	124	2.56761e-05
AusGEM_00417	AUSMDU00015698	4955545	275146	0.947398	0.000883324	129	2.60314e-05
AusGEM_00417	AUSMDU00015752	4899221	532271	0.902003	0.00170638	708	0.000144513
AusGEM_00417	AUSMDU00015763	4858992	559100	0.896809	0.00180446	409	8.41738e-05
AusGEM_00417	AUSMDU00015793	4971266	218677	0.957865	0.000701798	249	5.00878e-05
AusGEM_00417	AUSMDU00015820	4976094	176259	0.965791	0.000566308	208	4.17999e-05
AusGEM_00417	AUSMDU00015849	4980805	195483	0.962235	0.00062689	142	2.85094e-05
AusGEM_00417	AUSMDU00015851	4905316	533143	0.901968	0.00170704	680	0.000138625
