IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F-:A-:B-	No F Plasmid	1	0	fimH120	AusGEM	2009	NA	Canine	Companion Animal	AusGEM_00349
F-:A-:B-	No F Plasmid	2	0	fimH1	AusGEM	2011	NA	Canine	Companion Animal	AusGEM_00389
F-:A-:B-	No F Plasmid	3	0	fimH120	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00426
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00427
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00428
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00441
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2009	NA	Canine	Companion Animal	AusGEM_00445
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00446
F52:A-:B62	AA320	5	0	fimH120	AusGEM	2013	NA	Canine	Companion Animal	AusGEM_00466
F52:A-:B62	AA320	5	0	fimH120	AusGEM	2013	NA	Canine	Companion Animal	AusGEM_00473
F52:A-:B62	AA320	5	0	fimH120	AusGEM	2013	NA	Canine	Companion Animal	AusGEM_00476
F52:A-:B62	AA320	5	0	fimH120	AusGEM	2013	NA	Canine	Companion Animal	AusGEM_00479
F29:A-:B10	AA337	6	0	fimH120*	AusGEM	2015	NA	Canine	Companion Animal	AusGEM_00596
F29:A-:B10	AA337	6	0	fimH120*	AusGEM	2015	NA	Canine	Companion Animal	AusGEM_00602
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2016	NA	Canine	Companion Animal	AusGEM_00667
F-:A-:B-	No F Plasmid	4	0	fimH120	AusGEM	2016	NA	Canine	Companion Animal	AusGEM_00670
F51:A-:B-	AA336	7	0	fimH120	AusGEM	2006	NA	Human	Human	AusGEM_01112
Y10*:A-:B-	AC206	4	0	fimH120	AusGEM	2006	NA	Human	Human	AusGEM_01113
F29:A-:B10	AA337	8	0	fimH120	AusGEM	2008	NA	Human	Human	AusGEM_01175
F29:A-:B10	AA337	9	0	fimH120	AusGEM	2006	NA	Human	Human	AusGEM_01186
F29:A-:B10	AA337	4	0	fimH120	AusGEM	2006	NA	Human	Human	AusGEM_01350
F95:A-:B-	AA336	4	0	fimH120	AusGEM	2006	NA	Human	Human	AusGEM_01351
F2:A-:B-	AA336	4	0	fimH120	AusGEM	2006	NA	Human	Human	AusGEM_01352
F4/C4:A6:B26	AA336	10	1	fimH120*	AusGEM	2009	NA	Human	Human	AusGEM_01986
F-:A-:B-	No F Plasmid	2	0	fimH1	MDU	2019	Urine	Human	Human	AUSMDU00024951
F-:A-:B-	No F Plasmid	11	0	fimH120	Enterobase	2014	Unknown	Human	Human	SRR6456032
F-:A-:B-	No F Plasmid	12	0	fimH120	TEA	2010	NA	Human	Human	TEA_60_1_Ti1
F-:A-:B-	No F Plasmid	13	0	fimH1	TEA	2010	NA	Human	Human	TEA_63_2_TC7
F92*:A19*:B-	AA336	14	0	fimH1	TEA	1995	NA	Mammal	Wild Animal	TEA_TA265
